Version,1,03Feb14
The St George!,NSW,2238
Southside!,NSW,2239
Springwood Contract!,NSW,2240
Moruya!,NSW,2241
Social Bridge - Ryde,NSW,2242
Lake Macquarie!,NSW,2243
Bridge @ The Bay,NSW,2244
Riverview!,NSW,2245
St Mary's!,NSW,2248
Sydney Chinese!,NSW,2249
Strathfield!,NSW,2250
Southern Highlands!,NSW,2251
Tenterfield!,NSW,2252
Royal Sydney Golf!,NSW,2253
Tamworth!,NSW,2255
Taree!,NSW,2256
Toronto!,NSW,2257
Tilligerry!,NSW,2258
Trumps Bridge Centre,NSW,2259
Tweed!,NSW,2260
Tumbarumba!,NSW,2261
Tumut!,NSW,2262
Twin Towns!,NSW,2263
Arv!,NSW,2264
Turramurra!,NSW,2266
Wagga Wagga!,NSW,2267
Wellington!,NSW,2268
Cex Urunga!,NSW,2269
Western Suburbs! - NSW,NSW,2270
Warialda!,NSW,2275
Windsor!,NSW,2277
Wollstonecraft!,NSW,2280
Brickpit At Thornleigh!,NSW,2283
Thornleigh!,NSW,2285
Woolgoolga!,NSW,2292
Yamba!,NSW,2295
Eventz In Paradise!,NSW,2299
Victorian Bridge Association Ltd,VIC,3301
Vba State  Mp Secretary,VIC,3302
Bairnsdale!,VIC,3308
Ballarat!,VIC,3309
Bayside!,VIC,3311
Beaumaris Bridge Association,VIC,3312
Benalla!,VIC,3313
Bendigo!,VIC,3315
Berwick!,VIC,3317
Bridge Fanatics,VIC,3318
Bridgemind,VIC,3319
Kings And Queens Victoria,VIC,3320
Caulfield Park!,VIC,3323
Dendy Park!,VIC,3326
Donald!,VIC,3330
Dromana Bridge Centre,VIC,3335
Eastern Contract Bridge Centre,VIC,3338
Echuca!,VIC,3340
Eastern Region Bridge Association,VIC,3344
Kings And Queens Bridge School,VIC,3345
Moonee Valley!,VIC,3348
Federation Of Affiliated!s Of Victoria,VIC,3350
Frankston!,VIC,3356
Geelong!,VIC,3360
Knox!,VIC,3361
U3a Knox!,VIC,3365
Alphington Bridge Centre,VIC,3372
Kattery!,VIC,3375
Kltc!,VIC,3376
Lakes Entrance!,VIC,3379
Macedon Ranges!,VIC,3405
Mcc!,VIC,3406
Melbourne Contract Bridge Centre,VIC,3408
Mount Martha!,VIC,3410
Melton!,VIC,3412
Mornington Bridge Group,VIC,3415
Northern!,VIC,3425
Ocean Grove!,VIC,3430
Wangaratta!,VIC,3433
Patterson Lakes!,VIC,3434
Paynesville!,VIC,3435
Peninsula! - Vic,VIC,3437
Phillip Island!,VIC,3440
Racv!,VIC,3442
The Artificial Club,VIC,3444
Ravens!,VIC,3445
Royal South Yarra Lawn Tennis!,VIC,3448
Rye Beach!,VIC,3451
Sale!,VIC,3455
Shepparton!,VIC,3460
Oz!,VIC,3463
South Gippsland!,VIC,3465
Sunbury!,VIC,3470
Tricks And Trumps,VIC,3473
Theodor Herzl Social Club Bridge Section,VIC,3475
Torquay!,VIC,3476
Traralgon!,VIC,3477
Warrnambool!,VIC,3478
Mildura U3a!,VIC,3479
Waverley!,VIC,3480
Upwey!,VIC,3481
Whittlesea!,VIC,3482
Williamstown!,VIC,3483
Wodonga!,VIC,3486
Werribee!,VIC,3489
Yarra Valley!,VIC,3496
Yarrawonga!,NSW,3497
Youth! Vic,VIC,3498
Queensland Bridge Association,QLD,4501
Queensland Bridge Association,QLD,4502
Arana Contract!,QLD,4503
Hervey Bay City!,QLD,4505
Beenleigh/logan!,QLD,4506
Broadwater!,QLD,4508
Redland!,QLD,4510
Capricorn Contract!,QLD,4513
Caboolture!,QLD,4515
Cards Bridge Centre,QLD,4518
Cleveland Bay!,QLD,4522
Coolum!,QLD,4523
Brisbane Bridge Centre,QLD,4528
Darling Downs!,QLD,4530
Eastern Suburbs!,QLD,4535
Helensvale And Southport!,QLD,4540
Northern Suburbs!,QLD,4545
Queensland Contract!,QLD,4555
Redcliffe!,QLD,4560
Sunnybank Contract!,QLD,4566
Toowong!,QLD,4572
Bowen!,QLD,4584
Bundaberg!,QLD,4587
Cairns!,QLD,4590
Caloundra Contract!,QLD,4592
Dalby!,QLD,4598
Gold Coast!,QLD,4620
Goondiwindi Contract!,QLD,4622
Gympie Contract!,QLD,4625
Ipswich Contract!,QLD,4630
Kenmore!,QLD,4632
Kingaroy Contract!,QLD,4633
Lockyer!,QLD,4637
Mackay Contract!,QLD,4640
Maryborough Contract!,QLD,4645
Moreton Bribie!,QLD,4650
Mudgeeraba!,QLD,4652
Noosa!,QLD,4657
Proserpine Whitsunday Contract!,QLD,4666
Roma Contract!,QLD,4670
Rockhampton Contract!,QLD,4675
Sanctuary Cove!,QLD,4677
Eacham!,QLD,4678
Stanthorpe!,QLD,4679
Sunshine Coast Contract!,QLD,4680
Surfers Paradise!,QLD,4682
Tablelands!,QLD,4683
Tamborine Mountain!,QLD,4685
Toowoomba!,QLD,4688
Townsville!,QLD,4690
Tully Duplicate!,QLD,4693
Warwick!,QLD,4696
Western Suburbs! - Qld,QLD,4698
Yeppoon!,QLD,4699
South Australian Bridge Federation,SA,5700
South Australian Bridge Association,SA,5701
Adelaide Bridge Centre,SA,5704
Blue Lake!,SA,5705
Broken Hill!,NSW,5707
Bridge In The Barossa,SA,5708
Bridge In The City,SA,5710
Gawler & District!,SA,5711
Mt Gambier!,SA,5713
Glenelg Contract!,SA,5715
Port Pirie Contract!,SA,5725
Reynella!,SA,5730
Riverland!,SA,5733
St Vincent Contract!,SA,5738
Stepbridge,SA,5742
Whyalla!,SA,5747
Bridge Association Of Western Australia,WA,6751
Armadale!,WA,6753
Albany!,WA,6754
Busselton!,WA,6755
Canning District!,WA,6756
Bunbury!,WA,6757
City Of Melville!,WA,6758
Community!,WA,6759
Dianella Contract!,WA,6760
Bridgetown!,WA,6761
Esperance!,WA,6762
Avon Valley!,WA,6763
Fremantle!,WA,6764
Bayswater!,WA,6765
Geraldton!,WA,6766
Gosnells District!,WA,6767
Italian!,WA,6770
Kendenup!,WA,6771
Kalamunda Districts!,WA,6772
Kalgoorlie!,WA,6774
Kojonup!,WA,6775
Maccabi Contract!,WA,6776
Maylands!,WA,6777
Mandurah!,WA,6778
Margaret River!,WA,6781
Rockingham!,WA,6784
Nedlands!,WA,6785
South Coast!,WA,6787
South Perth!,WA,6788
Swan Districts!,WA,6789
Village!,WA,6791
Undercroft!,WA,6792
Northern Districts!,WA,6793
West Coast!,WA,6794
West Australian!,WA,6795
Tasmanian Bridge Association,TAS,7801
Burnie!,TAS,7804
Devonport!,TAS,7809
Eastern Shore!,TAS,7814
Kingborough!,TAS,7818
Launceston!,TAS,7824
Tamar!,TAS,7844
Ulverstone!,TAS,7860
Hobart City!,TAS,7865
Northern Territory Bridge Association,NT,8901
Alice Springs!,NT,8910
Arafura!,NT,8915
Darwin!,NT,8930
Palmerston!,NT,8940
Bridge Club Live Online,UK,8999
